sim_dir,cpi,ipc,simSeconds,hostSeconds,total_leakage_W,runtime_dynamic_W,Energy,EDP,Objective,num_fu_intALU,command_line
m5out_alu_1,1.476705,0.677183,0.142379,634.37,0.541782,2.7238,4.82230126731,0.6865944321383306,5.651274699448331,1.0,"./build/ARM/gem5.fast -d m5out_alu_1 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=1"
m5out_alu_2,1.466354,0.681964,0.141381,628.49,0.541782,2.76167,4.844030054008,0.684853813065705,5.670264867073705,2.0,"./build/ARM/gem5.fast -d m5out_alu_2 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=2"
m5out_alu_3,1.464816,0.682679,0.141233,638.96,0.541782,2.76223,4.8397696417919995,0.6835351858192095,5.664537827611209,3.0,"./build/ARM/gem5.fast -d m5out_alu_3 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=3"
m5out_alu_4,1.464778,0.682697,0.141229,641.27,0.541782,2.76143,4.838472266936,0.6833325997871043,5.663033866723104,4.0,"./build/ARM/gem5.fast -d m5out_alu_4 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=4"
m5out_bp_BiMode,1.466354,0.681964,0.141381,620.04,0.541782,2.76167,4.844030054008,0.684853813065705,5.670264867073705,,"./build/ARM/gem5.fast -d m5out_bp_BiMode scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0"
m5out_bp_LTAGE,1.376186,0.726646,0.132687,645.4,0.541782,2.83305,4.644396550752,0.6162510451296306,5.3933345958816306,,"./build/ARM/gem5.fast -d m5out_bp_LTAGE scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=1"
m5out_bp_Local,1.475702,0.677643,0.142282,631.56,0.541782,2.75308,4.8622344431240005,0.691808441036569,5.696324884160569,,"./build/ARM/gem5.fast -d m5out_bp_Local scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=2"
m5out_bp_MPP64KB,1.583451,0.631532,0.152671,924.01,0.541782,2.69987,5.132997101052,0.78365980041471,6.0693279014667105,,"./build/ARM/gem5.fast -d m5out_bp_MPP64KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=3"
m5out_bp_MPP8KB,1.525421,0.655557,0.147076,736.11,0.541782,2.73367,4.996443265292,0.7348568896860863,5.878376154978087,,"./build/ARM/gem5.fast -d m5out_bp_MPP8KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=4"
m5out_bp_MPPTAGE64KB,1.458117,0.685816,0.140587,712.13,0.541782,2.72146,4.758188635314,0.6689394656728893,5.56771510098689,,"./build/ARM/gem5.fast -d m5out_bp_MPPTAGE64KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=5"
