sim_dir,branches,int_inst,load_inst,store_inst,vec_inst,cpi,simSeconds,hostSeconds,num_fu_intALU,command_line
m5out_alu_1,47570776,183946148,31046319,15355756,2422260,1.476705,0.142379,634.37,1.0,"./build/ARM/gem5.fast -d m5out_alu_1 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=1"
m5out_alu_2,48435597,183946148,31046319,15355756,2422260,1.466354,0.141381,628.49,2.0,"./build/ARM/gem5.fast -d m5out_alu_2 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=2"
m5out_alu_3,48488796,183946148,31046319,15355756,2422260,1.464816,0.141233,638.96,3.0,"./build/ARM/gem5.fast -d m5out_alu_3 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=3"
m5out_alu_4,48489325,183946148,31046319,15355756,2422260,1.464778,0.141229,641.27,4.0,"./build/ARM/gem5.fast -d m5out_alu_4 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --num_fu_intALU=4"
m5out_bp_BiMode,48435597,183946148,31046319,15355756,2422260,1.466354,0.141381,620.04,,"./build/ARM/gem5.fast -d m5out_bp_BiMode scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0"
m5out_bp_LTAGE,48088211,183946148,31046319,15355756,2422260,1.376186,0.132687,645.4,,"./build/ARM/gem5.fast -d m5out_bp_LTAGE scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=1"
m5out_bp_Local,48531044,183946148,31046319,15355756,2422260,1.475702,0.142282,631.56,,"./build/ARM/gem5.fast -d m5out_bp_Local scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=2"
m5out_bp_MPP64KB,49047139,183946148,31046319,15355756,2422260,1.583451,0.152671,924.01,,"./build/ARM/gem5.fast -d m5out_bp_MPP64KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=3"
m5out_bp_MPP8KB,49088489,183946148,31046319,15355756,2422260,1.525421,0.147076,736.11,,"./build/ARM/gem5.fast -d m5out_bp_MPP8KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=4"
m5out_bp_MPPTAGE64KB,48072358,183946148,31046319,15355756,2422260,1.458117,0.140587,712.13,,"./build/ARM/gem5.fast -d m5out_bp_MPPTAGE64KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=5"
m5out_bp_MPPTAGE8KB,48245661,183946148,31046319,15355756,2422260,1.486779,0.14335,682.96,,"./build/ARM/gem5.fast -d m5out_bp_MPPTAGE8KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=6"
m5out_bp_TAGE,48177891,183946148,31046319,15355756,2422260,1.397531,0.134745,628.2,,"./build/ARM/gem5.fast -d m5out_bp_TAGE scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=7"
m5out_bp_TAGE_SC_L_64KB,47897960,183946148,31046319,15355756,2422260,1.344692,0.129651,751.59,,"./build/ARM/gem5.fast -d m5out_bp_TAGE_SC_L_64KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=8"
m5out_bp_TAGE_SC_L_8KB,48055744,183946148,31046319,15355756,2422260,1.369624,0.132055,750.66,,"./build/ARM/gem5.fast -d m5out_bp_TAGE_SC_L_8KB scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=9"
m5out_bp_Tournament,48457801,183946148,31046319,15355756,2422260,1.459528,0.140723,629.65,,"./build/ARM/gem5.fast -d m5out_bp_Tournament scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=10"
m5out_btb_1024,48626307,183946148,31046319,15355756,2422260,1.483609,0.143045,639.08,,"./build/ARM/gem5.fast -d m5out_btb_1024 scripts/CortexA76_scripts_gem5/CortexA76.py -c workloads/jpeg2k_dec/jpg2k_dec -o ""-i workloads/jpeg2k_dec/jpg2kdec_testfile.j2k -o image.pgm"" --branch_predictor_type=0 --btb_entries=1024"
