Name,PeakPower,RuntimeDynamic,TotalLeakage,Energy
m5out_l2_128kB,,=,=,
m5out_alu_1,41.4344,=,0.541782,5.8993884376
m5out_l2_1MB,,=,=,
m5out_alu_2,41.4344,=,0.541782,5.8580369064
m5out_l2_256kB,,=,=,
m5out_alu_3,41.4344,=,0.541782,5.8519046152
m5out_l2_512kB,,=,=,
m5out_alu_4,41.4344,=,0.541782,5.8517388776
m5out_l3_1MB,,=,=,
m5out_bp_BiMode,41.4344,=,0.541782,5.8580369064
m5out_l3_2MB,,=,=,
m5out_bp_Local,41.4344,=,0.541782,5.8953693008
m5out_l3_4MB,,=,=,
m5out_bp_LTAGE,41.4344,=,0.541782,5.4978062328
m5out_lsq_large,,=,=,
m5out_bp_MPP64KB,41.4344,=,0.541782,6.3258312824
m5out_lsq_small,,=,=,
m5out_bp_MPP8KB,41.4344,=,0.541782,6.0940058144
m5out_opt_aggressive,,=,=,
m5out_bp_MPPTAGE64KB,41.4344,=,0.541782,5.8251379928
m5out_opt_balanced,,=,=,
m5out_bp_MPPTAGE8KB,41.4344,=,0.541782,5.9396212400
m5out_opt_best_cache,,=,=,
m5out_bp_TAGE,41.4344,=,0.541782,5.5830782280
m5out_opt_branch_hardware,,=,=,
m5out_bp_TAGE_SC_L_64KB,41.4344,=,0.541782,5.3720113944
m5out_opt_efficiency,,=,=,
m5out_bp_TAGE_SC_L_8KB,41.4344,=,0.541782,5.4716196920
m5out_opt_execution_units,,=,=,
m5out_bp_Tournament,41.4344,=,0.541782,5.8307730712
m5out_opt_low_latency,,=,=,
m5out_btb_1024,41.4037,=,0.540722,5.9225922665
m5out_opt_memory_hierarchy,,=,=,
m5out_btb_16384,41.5324,=,0.546605,5.8747579800
m5out_btb_2048,41.4124,=,0.541181,5.8594818884
m5out_opt_ultimate,,=,=,
m5out_btb_32768,41.7406,=,0.552715,5.9071714526
m5out_opt_wide_pipeline,,=,=,
m5out_btb_4096,41.4344,=,0.541782,5.8580369064
m5out_pipe_2,,=,=,
m5out_btb_8192,41.469,=,0.543257,5.857040091
m5out_pipe_4,,=,=,
m5out_l1d_128kB,41.6244,=,0.548762,5.8826099544
m5out_pipe_6,,=,=,
m5out_l1d_256kB,41.5833,=,0.557343,5.8723104594
m5out_pipe_8,,=,=,
m5out_l1d_32kB,41.398,=,0.539253,5.872596086
m5out_pipe_mixed_narrow,,=,=,
m5out_l1d_64kB,41.4344,=,0.541782,5.8580369064
m5out_pipe_mixed_wide,,=,=,
m5out_l1i_128kB,41.4499,=,0.546453,5.8594407638
m5out_rob_256,,=,=,
m5out_l1i_256kB,41.4821,=,0.555499,5.8636192813
m5out_rob_64,,=,=,
m5out_l1i_32kB,41.4233,=,0.538811,5.8611069869
m5out_l1i_64kB,41.4344,=,0.541782,5.8580369064
m5out_l2_128kB,41.396,=,0.531232,5.856085140
m5out_l2_1MB,41.6062,=,0.601534,5.8574872608
m5out_l2_256kB,41.4344,=,0.541782,5.8580369064
m5out_l2_512kB,41.5065,=,0.562493,5.8612158780
m5out_l3_1MB,41.3591,=,0.503958,5.8663333849
m5out_l3_2MB,41.4344,=,0.541782,5.8580369064
m5out_l3_4MB,41.5677,=,0.629024,5.8324055547
m5out_lsq_large,41.4779,=,0.542383,5.8633988998
m5out_lsq_small,41.4008,=,0.541312,5.8604902440
m5out_opt_aggressive,45.3185,=,0.63346,6.3400581500
m5out_opt_balanced,41.6745,=,0.554908,5.8769796645
m5out_opt_best_cache,41.7119,=,0.574144,5.8878432445
m5out_opt_branch_hardware,41.5337,=,0.546634,5.8749418650
m5out_opt_efficiency,37.8727,=,0.53419,5.8385311774
m5out_opt_execution_units,41.4344,=,0.541782,5.8492942480
m5out_opt_low_latency,41.4344,=,0.541782,4.6813828152
m5out_opt_memory_hierarchy,41.9448,=,0.700424,5.8588077192
m5out_opt_ultimate,46.6732,=,0.73356,6.4784735260
m5out_opt_wide_pipeline,44.2793,=,0.544718,6.2277064278
m5out_pipe_2,41.1756,=,0.541627,6.3537656604
m5out_pipe_4,41.4344,=,0.541782,5.8580369064
m5out_pipe_6,41.8126,=,0.541936,5.8660569044
m5out_pipe_8,42.3513,=,0.542091,5.9367205314
m5out_pipe_mixed_narrow,41.6575,=,0.541886,5.8593773200
m5out_pipe_mixed_wide,45.0965,=,0.544434,6.3761039420
m5out_rob_256,42.1364,=,0.543714,5.9565279132
m5out_rob_64,41.1039,=,0.541353,5.8129546419
