
---------- Begin Simulation Statistics ----------
simSeconds                                   0.120081                       # Number of seconds simulated (Second)
simTicks                                 120080703260                       # Number of ticks simulated (Tick)
finalTick                                120080703260                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1061.46                       # Real time elapsed on the host (Second)
hostTickRate                                113128181                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8582160                       # Number of bytes of host memory used (Byte)
simInsts                                    201825634                       # Number of instructions simulated (Count)
simOps                                      212594376                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   190140                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     200285                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        252270386                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.245442                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.802928                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       284976778                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1182                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      263904009                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 482826                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             72383583                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          45255629                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 218                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           252095331                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.046842                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.134531                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 115828688     45.95%     45.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  49416487     19.60%     65.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  46062946     18.27%     83.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  40787210     16.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 3                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             252095331                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     68      1.18%      1.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      18      0.31%      1.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    32      0.56%      2.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    18      0.31%      2.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      2.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                   49      0.85%      3.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      3.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   5066     88.00%     91.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     91.21% # attempts to use FU when none available (Count)
